timestamp,run_type,max_depth,n_estimators,learning_rate,subsample,min_samples_leaf,train_rmse,val_rmse,val_mae,train_val_gap
2026-08-29T14:33:12.492120+00:00,tune_candidate,3,100,0.05,0.85,10,32.88676715964799,46.542232359563506,32.934873438297736,13.655465199915518
2026-08-29T14:33:12.896260+00:00,tune_candidate,3,100,0.05,1.0,1,31.935823385171755,49.90544870793472,34.885923453342485,17.969625322762962
2026-08-29T14:33:13.279147+00:00,tune_candidate,3,100,0.05,1.0,5,32.539306488617285,48.347659159508495,33.95029650599019,15.80835267089121
2026-08-29T14:33:13.771087+00:00,tune_candidate,3,100,0.05,1.0,10,33.17846494137648,47.41806465955935,33.556880354117276,14.239599718182866
2026-08-29T14:33:14.573013+00:00,tune_candidate,3,200,0.03,0.7,1,30.659940994562895,47.35323860033168,33.2708518532262,16.693297605768784
2026-08-29T14:33:15.277667+00:00,tune_candidate,3,200,0.03,0.7,5,31.019780909882687,47.2003053334896,33.441922281727756,16.180524423606915
2026-08-29T14:33:16.253356+00:00,tune_candidate,3,200,0.03,0.7,10,32.2013865463578,46.914476964536114,33.17263897995604,14.71309041817831
2026-08-29T14:33:17.612180+00:00,tune_candidate,3,200,0.03,0.85,1,30.53989900129006,48.071690690915574,33.569412464171776,17.531791689625514
2026-08-29T14:33:18.610238+00:00,tune_candidate,3,200,0.03,0.85,5,31.176246802401014,47.061724378895754,33.07352362809012,15.88547757649474
2026-08-29T14:33:19.373313+00:00,tune_candidate,3,200,0.03,0.85,10,31.997298306294365,47.0650179048208,33.12208365958268,15.067719598526434
2026-08-29T14:33:20.285022+00:00,tune_candidate,3,200,0.03,1.0,1,31.46909783875894,48.901349145402826,34.2973315676463,17.432251306643884
2026-08-29T14:33:21.359443+00:00,tune_candidate,3,200,0.03,1.0,5,31.46080530894023,48.61342509740175,34.083571280287025,17.15261978846152
2026-08-29T14:33:22.190530+00:00,tune_candidate,3,200,0.03,1.0,10,32.21438717886157,47.51666487055027,33.71019653089871,15.302277691688701
2026-08-29T14:33:22.919134+00:00,tune_candidate,3,200,0.05,0.7,1,26.821143346876674,47.55113121402945,32.90664309824984,20.72998786715278
2026-08-29T14:33:23.731258+00:00,tune_candidate,3,200,0.05,0.7,5,27.612848024268338,47.08208629065621,33.37596005456121,19.46923826638787
2026-08-29T14:33:24.528750+00:00,tune_candidate,3,200,0.05,0.7,10,28.44793756166801,47.63215559525899,33.353004904746676,19.184218033590984
2026-08-29T14:33:25.353880+00:00,tune_candidate,3,200,0.05,0.85,1,26.72444999770391,48.0330552657461,33.740607489560404,21.30860526804219
2026-08-29T14:33:26.289177+00:00,tune_candidate,3,200,0.05,0.85,5,27.220338716498876,47.25739638330596,33.51241367060854,20.037057666807083
2026-08-29T14:33:27.168412+00:00,tune_candidate,3,200,0.05,0.85,10,28.2319713708545,46.71238686879729,33.25454416661237,18.48041549794279
2026-08-29T14:33:28.216289+00:00,tune_candidate,3,200,0.05,1.0,1,28.003794868607976,50.16412276097393,35.212999011352764,22.160327892365956
2026-08-29T14:33:29.052159+00:00,tune_candidate,3,200,0.05,1.0,5,28.37912678258345,48.48692551763903,34.003887880592316,20.107798735055578
2026-08-29T14:33:29.886271+00:00,tune_candidate,3,200,0.05,1.0,10,29.0759688780128,47.35892289137089,33.60533088978569,18.282954013358086
2026-08-29T14:33:31.713105+00:00,tune_candidate,3,300,0.03,0.7,1,27.34230518752715,47.462494331716684,33.2912402566368,20.120189144189535
2026-08-29T14:33:33.067028+00:00,tune_candidate,3,300,0.03,0.7,5,27.92187182041129,47.24757019062519,33.45181519875571,19.3256983702139
2026-08-29T14:33:34.108103+00:00,tune_candidate,3,300,0.03,0.7,10,29.231766783903183,47.316209451384296,33.42676978478159,18.084442667481113
2026-08-29T14:33:35.227487+00:00,tune_candidate,3,300,0.03,0.85,1,27.418271220470363,48.43653032123096,33.85307427193422,21.0182591007606
2026-08-29T14:33:36.363096+00:00,tune_candidate,3,300,0.03,0.85,5,28.03346738410088,47.39138688367671,33.41819751949577,19.35791949957583
2026-08-29T14:33:37.747137+00:00,tune_candidate,3,300,0.03,0.85,10,29.02013468493893,47.291028589000156,33.50996499537364,18.270893904061225
2026-08-29T14:33:39.342136+00:00,tune_candidate,3,300,0.03,1.0,1,28.941768400175402,48.75246078021335,34.50966427140211,19.810692380037946
2026-08-29T14:33:40.703246+00:00,tune_candidate,3,300,0.03,1.0,5,29.102491637276053,48.580301666486115,33.985393822815105,19.47781002921006
2026-08-29T14:33:42.189327+00:00,tune_candidate,3,300,0.03,1.0,10,29.93917071948197,47.49607085439426,33.86709245350378,17.55690013491229
2026-08-29T14:33:43.143830+00:00,tune_candidate,3,300,0.05,0.7,1,22.852427960467807,47.27489654916126,32.83890433531783,24.422468588693455
2026-08-29T14:33:44.144716+00:00,tune_candidate,3,300,0.05,0.7,5,23.746593189403317,47.502631180950885,33.6864577800112,23.75603799154757
2026-08-29T14:33:45.230112+00:00,tune_candidate,3,300,0.05,0.7,10,24.886142865969557,48.37244331136084,33.85482675993678,23.486300445391283
2026-08-29T14:33:46.440071+00:00,tune_candidate,3,300,0.05,0.85,1,22.557677437930117,47.99684640601918,33.82642170255895,25.439168968089064
2026-08-29T14:33:47.760393+00:00,tune_candidate,3,300,0.05,0.85,5,23.48930099877395,47.86801890169188,34.143367978755,24.378717902917934
2026-08-29T14:33:48.941682+00:00,tune_candidate,3,300,0.05,0.85,10,24.55039687211717,47.14741400287377,33.697574737210395,22.597017130756598
2026-08-29T14:33:50.209611+00:00,tune_candidate,3,300,0.05,1.0,1,24.66998323783707,50.5037722235999,35.64224467609879,25.833788985762833
2026-08-29T14:33:51.725813+00:00,tune_candidate,3,300,0.05,1.0,5,24.724529997843426,48.578385963132895,34.293791816034,23.85385596528947
2026-08-29T14:33:53.056844+00:00,tune_candidate,3,300,0.05,1.0,10,25.57447845798459,47.636842223413225,33.94790034003707,22.062363765428636
